JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10271,K3SbSe4,161,R3c,trigonal,3D,1.2239,2.305,-180.11634,316.27512,828.9760666,1283.306652,25552.98767,12861.27333,0.393021629,0.693772551,0.848623078,0.848623078,-209.3504833,329.8569433
JVASP-10273,K2MnS2,72,Ibam,orthorhombic,3D,0.8718,na,-297.8319567,293.4821767,371.5689739,755.7822746,3659.82948,7634.9824,0.214543395,0.412249705,12.29226911,12.29226911,-301.7763733,285.5822333
JVASP-10284,Na2CoS2,72,Ibam,orthorhombic,2D,0.0032,0.0004,28.3885935,27.88618003,214.5028004,208.1877371,121832.9603,123141.7953,0.040676416,0.03891003,2.46E-05,2.46E-05,na,na
JVASP-10291,SeS2(NO)2,15,C2/c,monoclinic,0D,1.4798,na,-374.5936733,251.6356233,1018.267568,1065.04026,6660.7362,16617.86143,0.566642951,0.521308936,3.761595378,3.761595378,-385.3255167,234.3153233
JVASP-10294,RbNa2BO3,59,Pmmn,orthorhombic,3D,3.4134,6.0139,-156.1990667,343.5035067,1138.734551,1016.694251,46859.38667,7857.118867,0.438673999,0.550954956,0.759331119,0.759331119,-119.61376,346.8198067
JVASP-10297,K2Zr(BO3)2,166,R-3m,trigonal,3D,3.5751,na,-215.2909533,276.8222833,1033.708892,1249.365587,21682.511,13955.2941,0.491052329,0.630629374,1.316027213,1.316027213,-222.87579,277.0922367
JVASP-10298,K2VAgS4,70,Fddd,orthorhombic,3D,1.3514,1.4075,-388.0755033,249.5316933,451.8248994,1359.246105,2937.7162,16935.53083,0.264175848,0.618314728,6.285542245,6.285542245,-358.26087,268.0675433
JVASP-10301,Li3BN2,136,P4_2/mnm,tetragonal,3D,3.784,3.8671,-285.7124333,364.2052467,2297.6418,2093.450148,29126.087,18413.17396,1.051959558,1.017986127,1.292622188,1.292622188,-253.0967167,392.5281367
JVASP-10302,K2GeAs2,72,Ibam,orthorhombic,3D,0.8228,1.7622,-300.72341,264.6066533,1547.677339,1211.211671,16800.091,16323.0555,0.779092846,0.56437636,1.276546316,1.276546316,-309.6849633,260.2239933
JVASP-10303,Rb2SnAs2,72,Ibam,orthorhombic,3D,0.7572,1.7369,-175.0430333,250.4513033,961.0642331,839.0140097,26398.192,13507.16473,0.371333028,0.431821949,0.141910863,0.141910863,-103.101887,255.0206033
JVASP-10307,Ca(CoO2)2,12,C2/m,monoclinic,3D,0.0084,0.0042,52.490747,53.44001667,419.6629133,429.3384101,115240.5503,113232.0507,0.084189696,0.089650122,0.000222319,0.000222319,na,na
JVASP-10308,Zn(CoO2)2,2,P-1,triclinic,3D,0.0031,0.0004,-44.42468667,-38.20310767,2334.209206,2202.313173,125482.038,121391.8933,0.359797263,0.343828215,6.48E-05,6.48E-05,na,na
JVASP-10315,Ti(GeO3)2,15,C2/c,monoclinic,3D,3.1096,na,-296.3476567,332.41743,875.5321635,755.30754,10230.7925,6930.5025,0.488049754,0.429078889,1.925206586,1.925206586,na,na
JVASP-10316,Sn(GeO3)2,15,C2/c,monoclinic,3D,2.089,na,-95.43324767,336.4432833,626.0608677,622.8179459,68857.09967,5638.1354,0.199533848,0.35809802,0.402175209,0.402175209,na,na
JVASP-10317,MgTi2O5,63,Cmcm,orthorhombic,3D,2.6012,na,-231.9048133,310.7390533,1502.919454,1870.657709,21625.96964,15129.84723,0.698923737,0.875063004,30.05756386,30.05756386,na,na
JVASP-10319,Ge2SbO6,15,C2/c,monoclinic,3D,0.0606,na,20.87233833,22.33945733,355.4267222,364.1295079,296830.34,302808.5433,0.042199136,0.043058021,1.16E-05,1.16E-05,na,na
JVASP-10321,Ti2ZnO5,11,P2_1/m,monoclinic,3D,2.785,na,-261.8546367,357.0922233,1379.745968,1669.831196,16715.61884,12002.12647,0.668352046,0.852757127,37.14775226,37.14775226,na,na
JVASP-10325,CaTi2O5,63,Cmcm,orthorhombic,3D,2.7724,3.3601,-232.0875767,286.4403467,1400.496254,1327.265191,21953.43277,14266.7066,0.653845577,0.622430588,15.70483324,15.70483324,na,na
JVASP-10326,ZnSn2O5,63,Cmcm,orthorhombic,3D,1.0029,na,-62.92263233,323.29159,394.9654211,2706.505476,100695.3733,23014.48653,0.101196042,1.160242087,0.212989909,0.212989909,na,na
JVASP-10327,CaSn2O5,11,P2_1/m,monoclinic,3D,1.6318,na,-99.42972967,425.8276433,770.1801799,675.0950004,77919.41967,4441.26662,0.211796113,0.386687323,0.454209944,0.454209944,na,na
JVASP-10329,Cr4(CuO4)3,148,R-3,trigonal,3D,0.0075,na,25.5206556,3.208824567,110954532.5,4415281.127,1.09E+11,1.19E+11,0.046595392,0.002009394,2.62E-11,2.62E-11,na,na
JVASP-10331,MgCr2O5,63,Cmcm,orthorhombic,3D,0.0099,na,73.69905567,69.19569767,1214.691751,1285.280147,453554.1445,442786.6214,0.168713102,0.173775155,0.000134113,0.000134113,na,na
JVASP-10332,MgMn2O5,63,Cmcm,orthorhombic,3D,0.0048,na,52.82729333,56.54788333,232.6462894,284.4037996,360828.3482,367572.1751,0.027338379,0.030424084,0.000395179,0.000395179,na,na
JVASP-10334,V(GeO3)2,15,C2/c,monoclinic,3D,0.0067,na,-26.9427641,-28.28104113,158.7432843,156.2890385,101695.2,101424.4197,0.048785805,0.048604936,3.95E-05,3.95E-05,na,na
